kana,romaji,meaning
りょうしん,ryoushin,"parents (lit., both parents)"
りょうり,ryouri,cooking; cuisine
りょこう,ryokou,"travel, trip"
れい,rei,"zero, nought"
れいぞうこ,reizouko,refrigerator
レコード,rekoodo,record
レストラン,resutoran,restaurant
れんしゅう,renshuu,(to) practice
ろうか,rouka,corridor
ろく,roku,six
ワイシャツ,waishatsu,"shirt (lit: white shirt), business shirt"
わかい,wakai,young
わかる,wakaru,to understand
わすれる,wasureru,to forget
わたし,watashi,"I, myself"
わたくし,watakushi,"I (formal), myself, private affairs"
わたす,watasu,to hand (something) over (v.t.); to get across
わたる,wataru,"to cross over, to go across"
わるい,warui,"bad, sinful; inferior"
